Date,NKE
1986-11-03,0.17190751433372498
1986-11-04,0.16338306665420532
1986-11-05,0.1676456779241562
1986-11-06,0.15912112593650818
1986-11-07,0.15627986192703247
1986-11-10,0.1548592895269394
1986-11-11,0.1605418175458908
1986-11-12,0.15627986192703247
1986-11-13,0.15059658885002136
1986-11-14,0.1548592895269394
1986-11-17,0.15343861281871796
1986-11-18,0.15059658885002136
1986-11-19,0.14633475244045258
1986-11-20,0.14775536954402924
1986-11-21,0.14775536954402924
1986-11-24,0.15059658885002136
1986-11-25,0.15059658885002136
1986-11-26,0.1577005535364151
1986-11-28,0.15912112593650818
1986-12-01,0.16196244955062866
1986-12-02,0.16338306665420532
1986-12-03,0.1648043543100357
1986-12-04,0.16338306665420532
1986-12-05,0.15912112593650818
1986-12-08,0.15343861281871796
1986-12-09,0.14633475244045258
1986-12-10,0.1420728713274002
1986-12-11,0.13781030476093292
1986-12-12,0.1349688321352005
1986-12-15,0.13070707023143768
1986-12-16,0.1335482895374298
1986-12-17,0.13638953864574432
1986-12-18,0.14065150916576385
1986-12-19,0.14491412043571472
1986-12-22,0.14065150916576385
1986-12-23,0.13638953864574432
1986-12-24,0.1335482895374298
1986-12-26,0.1335482895374298
1986-12-29,0.1349688321352005
1986-12-30,0.1335482895374298
1986-12-31,0.1335482895374298
1987-01-02,0.1335482895374298
1987-01-05,0.13781030476093292
1987-01-06,0.13212768733501434
1987-01-07,0.1335482895374298
1987-01-08,0.1335482895374298
1987-01-09,0.1349688321352005
1987-01-12,0.1349688321352005
1987-01-13,0.13923081755638123
1987-01-14,0.14065150916576385
1987-01-15,0.14633475244045258
1987-01-16,0.13923081755638123
1987-01-19,0.13638953864574432
1987-01-20,0.13638953864574432
1987-01-21,0.13638953864574432
1987-01-22,0.13923081755638123
1987-01-23,0.13638953864574432
1987-01-26,0.1335482895374298
1987-01-27,0.13923081755638123
1987-01-28,0.13923081755638123
1987-01-29,0.1420728713274002
1987-01-30,0.14065150916576385
1987-02-02,0.14917603135108948
1987-02-03,0.15201731026172638
1987-02-04,0.15627986192703247
1987-02-05,0.15343861281871796
1987-02-06,0.15201731026172638
1987-02-09,0.15059658885002136
1987-02-10,0.14633475244045258
1987-02-11,0.15201731026172638
1987-02-12,0.15912112593650818
1987-02-13,0.15343861281871796
1987-02-17,0.15627986192703247
1987-02-18,0.1548592895269394
1987-02-19,0.15201731026172638
1987-02-20,0.15343861281871796
1987-02-23,0.15343861281871796
1987-02-24,0.15059658885002136
1987-02-25,0.14775536954402924
1987-02-26,0.15059658885002136
1987-02-27,0.17048698663711548
1987-03-02,0.16622509062290192
1987-03-03,0.1605418175458908
1987-03-04,0.1676456779241562
1987-03-05,0.17474883794784546
1987-03-06,0.18043211102485657
1987-03-09,0.18043211102485657
1987-03-10,0.1875360757112503
1987-03-11,0.1946391761302948
1987-03-12,0.19890184700489044
1987-03-13,0.19037725031375885
1987-03-16,0.19605982303619385
1987-03-17,0.2003224790096283
1987-03-18,0.19748042523860931
1987-03-19,0.19748042523860931
1987-03-20,0.21168822050094604
1987-03-23,0.2102675437927246
1987-03-24,0.2102675437927246
1987-03-25,0.2102675437927246
1987-03-26,0.2102675437927246
1987-03-27,0.2088462859392166
1987-03-30,0.19605982303619385
1987-03-31,0.20600497722625732
1987-04-01,0.20316356420516968
