Date,MRNA
2020-11-16,97.94999694824219
2020-11-17,93.1500015258789
2020-11-18,88.88999938964844
2020-11-19,92.7699966430664
2020-11-20,97.61000061035156
2020-11-23,101.02999877929688
2020-11-24,98.55999755859375
2020-11-25,109.18000030517578
2020-11-27,127.02999877929688
2020-11-30,152.74000549316406
2020-12-01,141.00999450683594
2020-12-02,143.0
2020-12-03,157.25999450683594
2020-12-04,152.52000427246094
2020-12-07,159.52000427246094
2020-12-08,169.86000061035156
2020-12-09,156.58999633789062
2020-12-10,155.69000244140625
2020-12-11,156.92999267578125
2020-12-14,155.07000732421875
2020-12-15,147.22000122070312
2020-12-16,137.02999877929688
2020-12-17,144.0
2020-12-18,140.22999572753906
2020-12-21,138.3000030517578
2020-12-22,125.87999725341797
2020-12-23,130.33999633789062
2020-12-24,123.38999938964844
2020-12-28,111.4000015258789
2020-12-29,114.38999938964844
2020-12-30,111.12999725341797
2020-12-31,104.47000122070312
2021-01-04,111.7300033569336
2021-01-05,109.18000030517578
2021-01-06,116.26000213623047
2021-01-07,115.08999633789062
2021-01-08,112.75
2021-01-11,117.26000213623047
2021-01-12,124.55000305175781
2021-01-13,124.05999755859375
2021-01-14,129.72000122070312
2021-01-15,129.64999389648438
2021-01-19,125.01000213623047
2021-01-20,125.13999938964844
2021-01-21,132.97999572753906
2021-01-22,131.02000427246094
2021-01-25,147.0
2021-01-26,151.92999267578125
2021-01-27,155.72999572753906
2021-01-28,159.5500030517578
2021-01-29,173.16000366210938
2021-02-01,157.47999572753906
2021-02-02,158.5800018310547
2021-02-03,165.86000061035156
2021-02-04,173.30999755859375
2021-02-05,176.24000549316406
2021-02-08,185.97999572753906
2021-02-09,179.52000427246094
2021-02-10,179.33999633789062
2021-02-11,183.44000244140625
2021-02-12,183.74000549316406
2021-02-16,178.52999877929688
2021-02-17,176.75999450683594
2021-02-18,169.57000732421875
2021-02-19,174.74000549316406
2021-02-22,159.3699951171875
2021-02-23,150.1699981689453
2021-02-24,144.7899932861328
2021-02-25,148.3800048828125
2021-02-26,154.80999755859375
2021-03-01,157.39999389648438
2021-03-02,146.80999755859375
2021-03-03,131.22000122070312
2021-03-04,132.3000030517578
2021-03-05,132.19000244140625
2021-03-08,123.47000122070312
2021-03-09,130.8699951171875
2021-03-10,129.75
2021-03-11,140.47000122070312
2021-03-12,136.99000549316406
2021-03-15,143.66000366210938
2021-03-16,156.02000427246094
2021-03-17,147.5500030517578
2021-03-18,141.4600067138672
2021-03-19,143.74000549316406
2021-03-22,145.60000610351562
2021-03-23,136.52000427246094
2021-03-24,131.61000061035156
2021-03-25,133.3300018310547
2021-03-26,133.27999877929688
2021-03-29,123.41999816894531
2021-03-30,118.48999786376953
2021-03-31,130.9499969482422
2021-04-01,132.5500030517578
2021-04-05,129.91000366210938
2021-04-06,133.52999877929688
2021-04-07,131.47000122070312
2021-04-08,133.8800048828125
2021-04-09,140.9199981689453
2021-04-12,139.39999389648438
2021-04-13,149.7100067138672
2021-04-14,160.02999877929688
2021-04-15,159.8699951171875
2021-04-16,170.80999755859375
2021-04-19,161.91000366210938
2021-04-20,156.77999877929688
2021-04-21,169.5
2021-04-22,168.10000610351562
2021-04-23,173.6300048828125
2021-04-26,177.61000061035156
2021-04-27,183.41000366210938
2021-04-28,178.67999267578125
2021-04-29,175.6699981689453
2021-04-30,178.82000732421875
2021-05-03,186.02000427246094
2021-05-04,173.58999633789062
2021-05-05,162.83999633789062
2021-05-06,160.5
2021-05-07,163.14999389648438
2021-05-10,158.5500030517578
2021-05-11,158.99000549316406
2021-05-12,152.67999267578125
2021-05-13,149.8699951171875
2021-05-14,161.3800048828125
2021-05-17,160.42999267578125
2021-05-18,159.52999877929688
2021-05-19,157.99000549316406
2021-05-20,165.97000122070312
2021-05-21,161.4499969482422
2021-05-24,164.1699981689453
2021-05-25,169.25999450683594
2021-05-26,175.58999633789062
2021-05-27,179.5399932861328
2021-05-28,185.00999450683594
2021-06-01,184.66000366210938
2021-06-02,191.60000610351562
2021-06-03,195.22000122070312
2021-06-04,206.07000732421875
2021-06-07,219.57000732421875
2021-06-08,213.0
2021-06-09,217.44000244140625
2021-06-10,217.0
2021-06-11,218.85000610351562
2021-06-14,207.41000366210938
2021-06-15,201.58999633789062
